rank,°¡¼ö,ÀÛ°î,ÀÛ»ç,Æí°î
21,1604,374,1620,374
22,790,1750,1750,790
23,1096,814,760,733
24,1546,733,733,733
25,2192,733,733,733
26,2103,1591,1591,1591
27,1546,733,733,733
28,1604,484,899,484
29,1544,539,539,539
30,1546,733,733,733
31,1603,378,1472,1616
32,1002,1389,1394,1389
33,1888,1675,1660,1942
34,1604,2175,2175,2175
35,1491,1491,1491,244
36,1546,733,733,733
37,1546,733,733,733
38,1546,733,733,733
39,1096,916,916,733
40,1010,1782,1782,1782
41,1227,1227,1227,1227
42,1096,814,760,733
43,1262,1835,1835,1835
44,1546,733,733,733
45,2192,733,733,733
46,2192,733,733,733
47,726,344,1344,344
48,1546,733,733,733
49,78,733,733,733
1,726,344,1344,344
2,80,238,238,508
3,1604,1227,1227,1227
4,2192,733,733,733
5,1257,1257,1257,1257
6,1546,733,733,733
7,80,154,238,154
8,1299,2167,1391,2167
9,1603,2206,2206,2206
10,1491,1172,900,837
11,726,53,477,526
12,1435,101,1346,101
13,80,639,238,639
14,1662,858,1523,858
15,80,238,238,2174
16,1964,837,1998,837
17,726,379,379,379
18,1802,2167,1391,2167
19,1604,2175,2175,1744
20,1479,1591,1591,1591
21,1361,101,1344,632
22,80,100,238,100
23,1546,733,733,733
24,1250,1684,1684,1684
25,1250,1684,1684,1684
26,2039,733,2039,733
27,2120,2120,2016,2120
28,2103,1591,1591,1591
29,1010,1782,1782,1782
30,2209,2209,2209,733
31,1262,1835,1835,1835
32,1002,1389,1394,1389
33,1546,733,733,733
34,1622,1622,1622,1139
35,726,287,861,287
36,1546,733,733,733
37,1544,539,539,539
38,726,277,477,54
39,1603,378,1472,1616
40,2192,733,733,733
41,1096,814,760,733
42,1546,733,733,733
43,1546,733,733,733
44,78,733,733,733
45,1546,733,733,733
46,1546,733,733,733
47,1290,1642,1642,1642
48,1546,733,733,733
49,726,495,477,1807
1,1262,1835,1835,1835
2,1262,1835,1835,1835
3,1262,1835,1835,1835
4,726,344,1344,344
5,1262,1835,1835,1835
6,80,238,238,508
7,1662,858,1523,858
8,1215,733,733,733
9,1604,1227,1227,1227
10,1262,1835,1835,733
11,1786,2165,2161,733
12,1435,101,1346,101
13,2192,733,733,733
14,1603,2206,2206,2206
15,1257,1257,1257,1257
16,1257,2061,1257,1257
17,1510,589,589,589
18,80,154,238,154
19,1491,1172,900,837
20,1215,733,733,733
21,1546,733,733,733
22,1802,2167,1391,2167
23,1964,837,1998,837
24,1299,2167,1391,2167
25,1479,1591,1591,1591
26,1262,1835,1835,1835
27,1250,1684,1684,1684
28,1257,1257,1257,1106
29,993,1936,1936,1936
30,80,238,238,2174
31,80,639,238,639
32,3,1199,1199,1199
33,726,379,379,379
34,928,2061,928,2061
35,1215,733,733,733
36,1215,733,733,733
37,1361,101,1344,632
38,1215,733,733,733
39,1215,733,733,733
40,1010,1782,1782,1782
41,1739,1754,1754,1937
42,2103,1591,1591,1591
43,1215,733,733,733
44,1215,733,733,733
45,1002,1389,1394,1389
46,1250,1684,1684,1684
47,1215,733,733,733
48,1262,1835,1835,1835
49,939,2165,2161,2165
50,1215,733,733,733
1,1262,1835,1835,1835
2,1262,1835,1835,1835
3,1262,1835,1835,1835
4,2178,959,959,1389
5,1262,1835,1835,1835
6,1786,2165,2161,733
