rank,°¡¼ö
1,1151
2,573
3,573
4,1151
5,1151
6,1319
7,293
8,1151
9,2053
10,1151
12,40
13,573
14,1151
15,573
16,1151
17,573
18,1151
19,1151
20,1151
21,1536
22,554
23,270
24,1234
25,1238
26,1705
27,1291
28,1254
29,984
30,1340
31,1340
32,1536
33,2018
34,12
35,216
36,531
37,1536
38,37
39,295
40,552
41,1402
42,1319
43,1585
44,1232
45,1254
46,1731
47,720
48,1238
49,1298
50,22
1,1151
2,573
3,1151
4,40
5,573
6,293
7,1151
8,2053
9,1151
10,1536
11,1151
13,554
14,1151
15,421
16,1151
17,1319
18,1343
19,231
20,270
21,573
22,1960
23,1151
24,1151
25,1291
26,1536
27,573
28,1234
29,1334
30,1238
31,1254
32,1705
33,531
34,1151
35,573
36,984
37,216
38,1340
39,1857
40,2018
41,1536
42,295
43,1340
44,12
45,1402
46,1739
47,1298
48,37
50,1585
1,1151
2,573
3,1857
4,1319
5,40
6,573
7,293
8,1536
9,1960
10,1507
11,421
12,2053
13,1343
15,554
16,1151
17,456
18,1151
19,1319
20,1334
21,1536
22,1857
23,1254
24,231
25,1151
26,2194
27,270
28,573
29,1151
30,1291
31,984
32,1507
33,216
34,1234
35,573
36,1238
37,1254
38,1536
39,1151
40,1340
41,531
42,1705
43,2019
44,1151
45,657
46,727
47,1523
48,1507
49,901
50,573
1,706
2,1507
3,369
4,1151
5,573
6,2194
8,369
9,573
10,1343
11,40
12,1857
13,369
14,293
15,369
16,456
17,369
19,1536
20,524
21,369
22,421
23,369
24,2053
25,369
26,1507
27,369
28,369
29,554
30,1319
31,1960
32,231
33,1343
34,1151
35,1313
36,1536
37,1857
38,1507
39,369
40,582
41,1151
42,984
43,1319
44,1622
45,573
46,1334
47,1507
48,1523
49,727
50,1345
1,751
2,706
3,1343
4,1330
5,1635
6,1028
7,1507
8,402
9,369
10,1151
11,573
12,706
14,37
15,573
16,40
17,2194
18,293
19,656
20,1857
21,706
22,1547
23,369
24,369
25,369
26,1536
28,421
29,554
30,1642
31,369
32,2053
33,289
34,154
35,706
36,1028
37,1119
38,231
39,369
40,1028
41,706
42,369
43,474
44,369
45,1857
46,369
47,706
48,369
49,1254
50,706
1,751
2,1187
3,1343
4,706
5,720
6,706
7,1028
8,856
9,751
10,1635
11,1429
12,1507
13,1330
14,1238
15,706
16,1933
17,1151
18,369
19,573
20,706
21,1547
22,402
23,40
24,289
25,293
26,573
27,706
28,656
29,614
30,1857
31,632
32,354
33,1536
34,421
35,2194
36,1050
38,554
39,474
40,37
41,706
42,632
43,706
44,2053
45,706
47,402
48,1642
49,8
50,1265
1,2095
2,1933
3,1343
4,1130
5,1028
6,751
7,1635
8,1238
9,1364
10,720
11,751
12,706
13,632
14,1187
15,1507
16,751
17,1238
18,1330
19,1151
20,1933
21,1429
22,573
23,856
24,706
25,1282
26,354
27,614
28,40
29,706
30,1933
31,641
32,402
33,369
34,354
35,293
36,1130
37,289
38,154
39,1313
40,1254
41,573
42,1536
43,704
44,1800
45,1933
46,1547
47,632
48,1238
49,720
50,656
1,2095
2,154
3,1130
4,1343
5,1933
6,1028
7,741
8,751
9,1300
10,1635
11,354
12,1364
13,720
14,706
15,1238
16,751
17,1781
18,1187
19,1507
20,632
21,1330
22,751
23,614
24,289
25,573
26,1151
27,1282
28,1238
29,1429
30,40
31,1933
32,1254
33,720
34,706
35,641
36,706
37,332
38,1330
39,369
40,856
41,1095
42,293
43,751
44,1536
45,1313
46,656
47,1547
48,869
49,911
50,554
1,751
2,1011
3,2095
4,22
5,1130
6,2095
7,1028
8,354
9,1933
10,154
11,1343
12,1300
13,1364
14,1319
15,751
16,154
17,1011
18,1635
19,1011
20,751
21,741
22,1330
23,706
24,1238
25,314
26,289
27,1781
28,720
29,1507
30,1187
31,614
32,1011
33,573
34,1282
35,332
36,1330
37,632
38,1151
39,851
40,354
41,751
42,1933
43,40
44,1198
45,2085
46,104
47,1429
48,2063
49,1238
50,641
1,1011
2,1126
3,1637
4,485
5,2095
6,751
7,2095
8,1011
9,751
10,22
11,1011
12,1130
13,1028
14,1300
15,1343
16,1933
17,751
18,1364
19,1343
20,154
21,751
22,1011
23,1635
24,1319
25,524
26,332
27,1485
28,1238
29,706
30,1507
31,573
32,1781
33,1282
34,1330
35,354
36,614
37,1187
38,289
39,354
40,720
41,704
42,1467
43,1151
44,741
45,40
46,1198
47,597
48,162
49,1507
50,1481
1,56
2,1011
3,1485
4,1255
5,1637
6,56
7,166
8,2095
9,1343
10,2053
11,751
12,56
13,22
14,1126
15,1011
16,1130
17,428
18,2095
19,751
20,1707
21,1028
22,485
23,1364
24,1343
25,1300
26,1933
27,56
28,1011
29,751
30,704
31,1507
32,1363
33,129
34,154
35,582
36,1319
37,751
38,1635
39,573
40,1363
41,332
42,1282
43,1467
44,1363
45,1713
46,1351
47,1011
48,1781
49,1363
1,166
2,1011
3,1485
4,1637
5,1126
6,1255
7,2053
8,56
9,851
10,1126
11,1713
12,2095
13,22
14,428
15,1343
16,1130
17,1130
18,751
19,751
20,1011
21,1933
22,129
23,1028
24,1707
25,1364
26,1782
27,2095
28,1300
29,1343
30,744
31,751
32,56
33,1319
34,712
35,485
36,1847
37,775
38,1011
39,332
40,751
41,465
42,1635
43,56
44,102
45,1333
46,573
47,1028
48,1469
49,154
1,1011
2,1234
3,1126
4,166
5,1637
6,712
7,1485
8,2053
9,1255
10,1028
11,830
12,704
13,56
14,1126
15,2095
16,775
17,22
18,1343
19,1130
20,851
21,1130
22,422
23,1364
24,1028
25,751
26,1300
27,1713
28,2023
29,332
30,1933
31,751
32,428
33,1011
34,1343
35,465
36,2095
37,911
38,751
39,1333
40,485
41,573
42,825
43,1635
44,1319
45,1782
46,1333
47,1146
48,1983
49,751
1,830
2,1011
3,1343
4,1637
5,712
6,1126
7,166
8,1234
9,1485
10,2053
11,1255
12,2095
13,1319
14,1130
15,22
16,56
17,421
18,1126
19,1343
20,1364
21,1130
22,1300
23,1028
24,1028
25,332
26,1343
27,1933
