NaN,가수,작사,작곡,편곡
4,BIGBANG,TEDDY,TEDDY,TEDDY
5,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
6,에일리,휘성,이기,NaN
7,2AM,박선주,박선주,런치송 프로젝트
8,2AM,권순일,박용인,권순일
9,miss A,박진영,박진영,박진영
10,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
11,존 박,존 박,Andy Platts,NaN
12,2AM,윤종신,윤종신,Miss Kay
13,BIGBANG,G-DRAGON,G-DRAGON,CHOICE37
14,2AM,이창민,이창민,Miss Kay
15,린,김박사,김박사,김박사
16,이승철,홍진영,홍진영,홍진영
17,CNBLUE,정용화,정용화,김재양
18,케이윌,김이나,김도훈,김도훈
19,BIGBANG,G-DRAGON,G-DRAGON,DJ Murf
20,양요섭,김이나,김건우,NaN
21,BIGBANG,G-DRAGON,G-DRAGON,P.K
22,김태우,신형,NaN,NaN
23,살찐 고양이,시진,NaN,NaN
24,티아라,신사동 호랭이,신사동 호랭이,신사동 호랭이
25,다비치,전해성,전해성,전해성
26,이기찬,민연재,더 네임,NaN
27,린,윤민수,윤민수,KingMing
28,엘,NaN,NaN,NaN
29,송혜교,민재영,김성훈,김성훈
30,FTISLAND,한성호,김도훈,이상호
31,B1A4,진영,진영,진영
32,SE7EN,NaN,NaN,NaN
33,지연,박진영,박진영,심은지
34,BIGBANG,G-DRAGON,G-DRAGON,DEE. P
35,디셈버,NaN,NaN,NaN
36,트러블메이커,Rado,신사동 호랭이,신사동 호랭이
37,아이유,김이나,이민수,이민수
38,정진운,박진영,박진영,심은지
39,린,린,황성제,황성제
40,먼데이키즈,유희열,유희열,멜로딘 준영
41,Rachael Yamagata?,Rachael Yamagata,Rachael Yamagata,NaN
42,Jason Mraz,NaN,NaN,NaN
43,Jason Mraz,NaN,NaN,NaN
44,스피카,송수윤,한재호,한재호
45,Pixie Lott,Phil Thornalley,NaN,NaN
46,Maroon 5,NaN,NaN,NaN
47,김범수,윤일상,최은하,NaN
48,정엽,NaN,NaN,NaN
49,존 박,김동률,김동률,김동률
50,소지섭,김건우,김건우,김건우
1,SHINee ,조윤경,Thomas Troelsen,Thomas Troelsen
2,2AM,방시혁,김도훈,김도훈
3,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
4,BIGBANG,TEDDY,TEDDY,TEDDY
5,김수현,김창락,김창락,김창락
6,CNBLUE,정용화,정용화,김재양
7,에일리,휘성,이기,NaN
8,린,윤민수,윤민수,KingMing
9,버스커 버스커,장범준,장범준,장범준
10,2AM,휘성,최용찬,이상호
