124,28,트러블메이커(Trouble Maker),Rado,신사동 호랭이,신사동 호랭이
125,,,,,
126,30,투개월,이단옆차기,이단옆차기,Musthave
127,31,휘성,휘성(Realslow),휘성(Realslow),문하
128,32,Rachael Yamagata?(레이첼?야마가타),Rachael Yamagata,Rachael Yamagata,
129,33,miss A,Noday,Noday,Noday
130,34,존 박,김동률,김동률,김동률
131,35,스피카(SPICA),송수윤,한재호,한재호
132,36,아이유(IU),김이나,이민수,이민수
133,37,효린,김창기,김창기,SWEETCH
134,38,틴 탑(Teen Top),용감한 형제,용감한 형제,용감한 형제
135,39,김보경,러브시티(LoveCity),러브시티(LoveCity),러브시티(LoveCity)
136,40,예은,핫펠트(예은),핫펠트(예은),이우민 'Collapsedone'
137,41,10cm,이승호,윤일상,
138,42,블락비(Block B),지코(ZICO),지코(ZICO),델리보이(Delly Boi)
139,43,케이윌(K.will),민연재,김도훈(RBW),김도훈(RBW)
140,44,miss A,김은수,Marlon Cole,Billion Dollar Baby
141,45,Adele,,,
142,46,엠블랙(MBLAQ),이단옆차기,이단옆차기,이단옆차기
143,47,다비치,k-Smith,조영수,조영수
144,48,해오라(Heora),한상원,한상원,한상원
145,49,써니힐(Sunny Hill),홍진영,홍진영,홍진영
146,50,Pixie Lott,Phil Thornalley,,
147,1,BIGBANG,TEDDY,TEDDY,TEDDY
148,2,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
149,3,BIGBANG,G-DRAGON,G-DRAGON,CHOICE37
150,4,BIGBANG,G-DRAGON,G-DRAGON,TEDDY
151,5,BIGBANG,G-DRAGON,G-DRAGON,DJ Murf
152,6,miss A,박진영,박진영,박진영
153,7,BIGBANG,G-DRAGON,G-DRAGON,P.K
154,8,존 박,존 박,Andy Platts,
155,9,에일리,휘성(Realslow),이기,
156,10,린(LYn),김박사,김박사,김박사
157,11,케이윌(K.will),김이나,김도훈(RBW),김도훈(RBW)
158,12,BIGBANG,G-DRAGON,G-DRAGON,DEE. P
159,13,이승철,홍진영,홍진영,홍진영
160,14,이기찬,민연재,더 네임(The Name),
161,15,다비치,전해성,전해성,전해성
162,16,SE7EN,,,
163,17,FTISLAND,한성호,김도훈(RBW),이상호
164,18,티아라(T-ara),신사동 호랭이,신사동 호랭이,신사동 호랭이
165,19,김범수,윤일상,최은하,
166,20,효린,개미,개미,
167,21,miss A,홍지상,홍지상,홍지상
168,22,정진운,박진영,박진영,심은지
169,23,존 박,김동률,김동률,김동률
170,24,써니힐(Sunny Hill),김이나,이민수,이민수
171,25,존 박,김동률,김동률,김동률
172,26,비스트(Beast),Rado,Rado,Rado
173,27,장재인,장재인,강현민,
174,28,트러블메이커(Trouble Maker),Rado,신사동 호랭이,신사동 호랭이
175,29,나윤권,김세진,김세진,
176,30,아이유(IU),김이나,이민수,이민수
177,31,스피카(SPICA),송수윤,한재호,한재호
178,32,정엽,Honeydew'o,Honeydew'o,Honeydew'o
179,33,제아,,,
180,34,Rachael Yamagata?(레이첼?야마가타),Rachael Yamagata,Rachael Yamagata,
